iter	Passed	Remaining
401	18742	27880
402	18789	27835
403	18844	27800
404	18894	27758
405	18936	27705
406	18981	27655
407	19032	27615
408	19078	27568
409	19121	27515
410	19182	27490
411	19232	27448
412	19284	27409
413	19329	27359
414	19378	27316
415	19426	27272
416	19473	27225
417	19525	27186
418	19573	27141
419	19623	27099
420	19677	27062
421	19722	27013
422	19774	26973
423	19823	26930
424	19866	26878
425	19907	26824
426	19949	26770
427	19992	26719
428	20040	26674
429	20089	26630
430	20140	26589
431	20188	26544
432	20241	26505
433	20288	26459
434	20344	26424
435	20393	26380
436	20444	26339
437	20489	26290
438	20542	26251
439	20587	26201
440	20638	26161
441	20683	26112
442	20730	26064
443	20772	26012
444	20817	25963
445	20863	25915
446	20911	25870
447	20954	25818
448	20997	25767
449	21059	25738
450	21114	25702
451	21166	25662
452	21219	25623
453	21273	25584
454	21321	25539
455	21365	25488
456	21409	25437
457	21462	25398
458	21515	25359
459	21563	25313
460	21615	25272
461	21658	25221
462	21708	25178
463	21753	25129
464	21803	25085
465	21846	25034
466	21900	24995
467	21950	24952
468	21998	24906
469	22047	24862
470	22107	24830
471	22154	24783
472	22208	24743
473	22263	24705
474	22312	24661
475	22365	24620
476	22419	24581
477	22467	24535
478	22520	24494
479	22575	24456
480	22631	24419
481	22680	24374
482	22730	24330
483	22786	24293
484	22836	24249
485	22879	24197
486	22923	24147
487	22969	24098
488	23015	24050
489	23062	24003
490	23101	23948
491	23142	23895
492	23191	23849
493	23236	23800
494	23289	23759
495	23333	23709
496	23374	23656
497	23415	23603
498	23462	23556
499	23503	23503
500	23556	23462
501	23619	23431
502	23668	23386
503	23711	23335
504	23755	23285
505	23802	23238
506	23848	23189
507	23901	23149
508	23953	23106
509	23997	23055
510	24044	23009
511	24089	22960
512	24148	22924
513	24204	22886
514	24252	22839
515	24294	22787
516	24343	22742
517	24394	22699
518	24445	22655
519	24493	22609
520	24546	22567
521	24593	22520
522	24650	22482
523	24689	22427
524	24738	22382
525	24778	22329
526	24828	22284
527	24870	22232
528	24911	22179
529	24958	22133
530	25005	22085
531	25051	22037
532	25099	21991
533	25144	21942
534	25204	21906
535	25253	21861
536	25297	21811
537	25340	21760
538	25388	21714
539	25437	21668
540	25496	21632
541	25547	21588
542	25604	21549
543	25652	21502
544	25694	21451
545	25743	21405
546	25790	21358
547	25837	21311
548	25883	21263
549	25931	21216
550	25979	21170
551	26029	21125
552	26078	21079
553	26128	21034
554	26172	20984
555	26232	20947
556	26282	20903
557	26329	20855
558	26383	20814
559	26430	20767
560	26483	20723
561	26532	20678
562	26583	20633
563	26629	20586
564	26675	20537
565	26725	20492
566	26773	20445
567	26819	20397
568	26864	20349
569	26908	20299
570	26952	20250
571	26999	20202
572	27055	20161
573	27097	20110
574	27140	20060
575	27185	20011
576	27234	19965
577	27284	19920
578	27332	19873
579	27379	19826
580	27431	19782
581	27480	19736
582	27527	19689
583	27571	19639
584	27625	19597
585	27673	19550
586	27721	19504
587	27778	19463
588	27827	19418
589	27869	19366
590	27923	19324
591	27968	19275
592	28010	19224
593	28050	19172
594	28093	19122
595	28135	19071
596	28181	19023
597	28236	18981
598	28283	18934
599	28337	18891
600	28389	18847
601	28445	18805
602	28493	18759
603	28536	18709
604	28582	18661
605	28628	18613
606	28684	18571
607	28722	18518
608	28768	18470
609	28811	18420
610	28852	18369
611	28893	18317
612	28934	18267
613	28981	18219
614	29032	18175
615	29077	18126
616	29127	18080
617	29175	18033
618	29231	17992
